Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Stargazers
3431,492,275,3522,18,866.0,2800.0,30,3369,23068.0,0,True,False,True,False,False,True,40874
2108,456,39,164,1,89.0,226.0,27,104,1844.0,9,True,False,True,False,False,True,40870
3714,394,169,1006,1,1.0,186.0,1,392,2985.0,2,True,False,True,False,False,True,40851
2149,2770,107,5068,45,534.0,1742.0,0,751,58524.0,3,True,True,True,True,False,True,40676
4256,521,33,710,31,318.0,160.0,4,89,9358.0,3,True,True,True,True,False,False,40455
4276,498,12,611,8,145.0,969.0,0,28,2272.0,4,True,True,True,True,False,True,40291
12497,1504,13,509,1,110.0,507.0,1,48,34426.0,14,True,True,True,True,False,False,40028
4747,1014,437,6476,57,130.0,5036.0,17,3548,91423.0,0,True,True,True,True,False,True,39919
3038,396,140,1599,7,988.0,1564.0,52,1007,72432.0,2,True,True,True,True,False,False,39758
3952,1595,108,4967,93,860.0,6334.0,10,816,129258.0,2,True,True,True,True,False,False,39587
4405,575,49,210,1,72.0,28.0,37,78,339.0,7,True,True,True,True,False,False,39551
8157,1110,55,598,1,90.0,81.0,2,145,202492.0,2,True,False,True,True,True,True,39501
4868,962,233,9495,3,1178.0,2637.0,171,873,304880.0,6,True,True,True,True,False,True,39474
7281,1255,451,9282,167,224.0,1851.0,156,8901,2338444.0,1,True,True,True,True,False,True,39333
7463,1081,249,1589,18,37.0,2649.0,2,1023,31860.0,26,True,True,True,False,True,True,39329
8781,1070,19,1313,3,526.0,755.0,3,120,848593.0,1,True,True,True,True,True,False,39270
2537,661,273,4998,11,738.0,3998.0,33,823,13025.0,2,True,False,True,False,False,False,39053
4675,613,416,10647,6,28.0,6510.0,20,9166,114169.0,9,True,False,True,False,True,True,38941
25899,3078,498,6716,22,768.0,5389.0,60,5969,47932.0,6,True,True,True,True,False,False,38876
2444,366,311,3473,18,155.0,2536.0,9,1222,34784.0,0,True,False,True,False,False,True,38849
4841,996,260,3878,24,622.0,4595.0,177,1264,164290.0,2,True,True,True,True,True,False,38830
9473,357,445,6443,1,114.0,54.0,50,1866,94871.0,4,True,True,True,True,False,False,38656
4269,426,699,1930,156,1116.0,471.0,261,2630,31178.0,1,True,True,True,True,False,True,38639
6570,1420,431,10075,4,3342.0,7791.0,86,7591,91884.0,10,True,True,True,False,False,True,38531
3476,572,593,7044,134,789.0,4061.0,83,2005,183664.0,9,True,True,True,True,False,False,38446
13801,347,313,2651,17,247.0,7712.0,68,2383,14876.0,1,True,True,True,True,False,True,38443
6653,311,322,1782,164,98.0,391.0,18,1007,2259.0,11,True,False,True,False,False,False,38407
16883,1770,16,235,7,102.0,75.0,90,91,45158.0,16,True,True,True,True,True,False,38368
16267,1116,2925,32380,16,3368.0,21160.0,148,28518,325933.0,1,True,True,True,False,False,False,38337
3439,735,222,3605,20,595.0,1443.0,83,1130,8608.0,23,True,True,True,True,False,False,38328
969,150,159,910,9,111.0,769.0,10,810,6508.0,9,True,True,True,True,False,True,38259
3458,506,200,10184,12,1041.0,2860.0,17,313,1287544.0,2,True,True,True,True,False,False,38092
9995,1373,812,53025,96,593.0,10160.0,222,21855,480451.0,3,True,True,False,True,True,False,37903
1701,289,320,1730,14,145.0,1313.0,70,651,4427.0,11,True,False,True,False,False,True,37837
4174,478,68,1155,5,609.0,542.0,2,253,69453.0,2,True,True,True,True,False,True,37833
5093,1969,321,2100,13,209.0,872.0,6,974,26036.0,1,True,True,True,True,True,False,37799
2277,1473,60,1428,1,6.0,553.0,0,475,31579.0,2,True,False,True,True,False,True,37623
5622,901,787,7648,26,363.0,4660.0,123,3693,57158.0,2,True,True,False,False,True,True,37517
6863,757,384,4932,32,612.0,3403.0,370,3159,22803.0,0,True,True,True,False,False,True,37511
5384,774,152,628,1,15.0,75.0,5,256,5327.0,2,True,True,True,True,False,True,37328
903,151,42,480,4,34.0,293.0,7,202,754.0,2,True,False,True,False,True,True,37320
6784,1670,110,830,1,9.0,73.0,0,320,3777.0,1,True,True,True,True,False,False,37321
8624,1192,1733,31112,510,1651.0,18113.0,166,12937,299851.0,9,True,False,True,False,False,False,37220
6819,1238,83,413,9,57.0,415.0,17,357,4678.0,2,True,True,True,True,True,False,37201
6780,601,817,14140,106,993.0,11142.0,128,4407,83396.0,0,True,False,True,False,False,True,37126
2719,566,55,616,1,1.0,998.0,1,193,1321.0,2,True,True,True,True,False,False,37038
5516,755,1249,16413,166,283.0,12261.0,150,7013,81433.0,23,True,True,True,False,False,True,37019
1484,344,38,412,10,130.0,151.0,30,136,4503.0,9,True,True,True,False,False,False,36758
4474,824,170,3589,5,72.0,3767.0,10,1137,7569.0,2,True,False,True,True,False,True,36736
2921,258,173,2947,35,314.0,226.0,246,1706,84055.0,0,True,True,True,True,True,False,36734
4617,493,1207,15417,13,1954.0,8901.0,161,13513,280370.0,9,True,False,True,True,False,False,36566
1369,788,313,8845,8,140.0,445.0,12,60,30959.0,15,True,True,True,True,False,False,36461
8932,1125,69,2070,6,1998.0,2873.0,123,370,21720.0,6,True,True,True,True,False,False,36445
1319,263,142,7975,94,122.0,1360.0,18,1526,54003.0,11,True,True,True,False,False,True,36432
1914,163,245,4143,5,28.0,2074.0,4,195,71951.0,4,True,False,True,False,False,False,36177
8812,694,891,35911,1,37.0,3981.0,17,10607,72228.0,23,True,False,True,False,True,False,35980
2277,333,144,14310,123,407.0,1752.0,36,2108,920929.0,0,True,True,True,True,False,True,35920
3975,455,535,9218,221,309.0,4973.0,29,2826,370883.0,0,True,True,True,False,False,False,35857
2693,863,104,10880,4,13.0,3437.0,1,365,138265.0,2,True,True,True,True,True,False,35756
8501,808,40,563,1,58.0,48.0,187,337,124951.0,2,True,True,True,True,False,True,35710
3025,471,134,5368,17,1259.0,1925.0,78,498,14999.0,2,True,False,True,False,True,False,35608
7363,1283,438,3943,15,405.0,4619.0,29,2976,126608.0,2,True,True,False,True,True,True,35547
9067,364,66,470,4,79.0,278.0,10,141,158820.0,1,True,True,True,True,False,True,35551
8537,890,820,23526,586,2498.0,12505.0,581,13008,741493.0,0,True,True,True,True,True,False,35517
7542,1421,905,132141,441,332.0,1138.0,308,9340,511357.0,13,True,False,True,False,False,False,35448
11119,1684,42,233,1,3.0,104.0,0,528,171448.0,1,True,True,True,False,True,True,35432
3826,307,25,566,4,367.0,278.0,10,125,31230.0,11,True,False,True,False,True,True,35327
1697,588,50,901,9,104.0,123.0,13,140,4558.0,1,True,True,True,True,False,False,35294
