Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
rustdesk,4126,364,190,5964,2,70,1741,1,1548,41836,27988,Rust,True,True,True,True,False,True
Real-Time-Voice-Cloning,7590,878,17,296,1,131,881,4,113,41714,369676,Python,True,False,True,True,False,False
mastodon,6186,688,833,13493,68,3665,5708,279,13763,41572,206815,Ruby,True,True,True,False,False,True
retrofit,7262,1588,169,2054,17,147,2485,37,1147,41530,5897,Java,True,False,True,True,True,True
bat,1075,204,301,2628,7,194,1019,11,1289,41189,30367,Rust,True,False,True,False,False,True
yarn,2886,571,520,2353,78,1816,4652,144,2135,41169,119363,JavaScript,True,True,True,False,False,False
sherlock,4903,1004,197,2097,7,40,728,85,793,41127,16778,Python,True,True,True,True,False,True
bun,1081,598,225,6252,104,667,968,70,1018,41094,51479,Zig,True,False,True,False,False,True
awesome-wechat-weapp,8277,1901,179,602,1,,,0,303,41043,844,,False,False,True,False,False,False
git-flight-rules,3193,659,123,441,6,16,53,0,278,40988,1608,,True,True,True,True,False,False
github-cheat-sheet,5277,1417,83,506,1,15,45,14,153,40911,764,,True,True,True,False,False,False
hyper,3431,492,275,3522,18,866,2800,30,3369,40874,23068,TypeScript,True,False,True,False,False,True
mkcert,2108,456,39,164,1,89,226,27,104,40870,1844,Go,True,False,True,False,False,True
react,3714,394,169,1006,1,1,186,1,392,40851,2985,JavaScript,True,False,True,False,False,True
100-Days-Of-ML-Code,10042,2454,7,109,2,,,31,20,40826,10955,,False,True,True,True,True,False
design-patterns-for-humans,4839,1208,45,140,1,5,46,9,70,40737,229,,True,True,True,True,False,False
x64dbg,2149,2770,107,5068,45,534,1742,0,751,40676,58524,C++,True,True,True,True,False,True
gpt4all,4256,521,33,710,31,318,160,4,89,40455,9358,C++,True,True,True,True,False,False
drawio-desktop,4276,498,12,611,8,145,969,0,28,40291,2272,Shell,True,True,True,True,False,True
vue2-elm,12497,1504,13,509,1,110,507,1,48,40028,34426,Vue,True,True,True,True,False,False
